"id","type","set","name","width","height","variations","prompt","negative_prompt"
"P11","card","wonderland","alice_in_a_whimsical_garden_maze","1400","1750","4","Alice in a whimsical garden maze, curious posture, blue dress and apron, oversized flowers and impossible pathways, painterly digital illustration, storybook epic tone, classroom-safe, bright but controlled palette, clear silhouette, soft background detail, UI-safe top and bottom zones, no text, no watermark, 4:5 portrait, 1400x1750","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P12","card","wonderland","cheshire_cat_perched_on_a_twisted_tree_branch","1400","1750","4","Cheshire Cat perched on a twisted tree branch, mischievous grin and fading tail effect, moonlit wonderland forest, painterly digital illustration, classroom-safe, teal-violet palette, clean silhouette, gentle atmospheric haze, reserve clean UI zones, no text, no watermark, 4:5 portrait, 1400x1750","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P13","card","wonderland","queen_of_hearts_in_a_royal_croquet_court","1400","1750","4","Queen of Hearts in a royal croquet court, commanding gesture with card-soldier banners behind her, dramatic but non-threatening classroom-safe tone, painterly digital illustration, red and black with ivory accents, clear silhouette, soft background detail, UI-safe composition, no text, no watermark, 4:5 portrait, 1400x1750","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P14","card","wonderland","jabberwock_in_a_moonlit_forest_clearing","1400","1750","4","Jabberwock in a moonlit forest clearing, mythical dragon-bird hybrid pose, awe-inspiring not terrifying, painterly digital illustration, classroom-safe, luminous mist and silver-blue palette, clean silhouette, medium-high detail on creature, soft background for readability, no text, no watermark, 4:5 portrait, 1400x1750","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P15","card","wonderland","mad_hatter_at_a_chaotic_tea_table_frozen_mid_gesture","1400","1750","4","Mad Hatter at a chaotic tea table frozen mid-gesture, floating teacups and pocket watches, whimsical energy, painterly digital illustration, classroom-safe, vibrant controlled palette, expressive silhouette, background softened for card readability, UI-safe empty zones, no text, no watermark, 4:5 portrait, 1400x1750","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P16","card","wonderland","white_rabbit_sprinting_with_a_pocket_watch_through_a_tunnel_of_oversized_clocks","1400","1750","4","White Rabbit sprinting with a pocket watch through a tunnel of oversized clocks, urgency and motion lines, painterly digital illustration, classroom-safe, strong diagonal composition, crisp silhouette, cool metallic and warm gold accents, clean UI margins, no text, no watermark, 4:5 portrait, 1400x1750","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P17","card","wonderland","vorpal_sword_embedded_in_a_stone_dais_in_a_glowing_forest_glade","1400","1750","4","Vorpal Sword embedded in a stone dais in a glowing forest glade, hero object composition, magical runic aura without readable letters, painterly digital illustration, classroom-safe, high-contrast focal lighting, soft background, UI-safe top and bottom, no text, no watermark, 4:5 portrait, 1400x1750","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P18","card","wonderland","rabbit_s_pocket_watch_opened_with_swirling_time_vortex_behind_it","1400","1750","4","Rabbit's Pocket Watch opened with swirling time vortex behind it, suspended gears and sparkles, literary fantasy object card art, painterly digital illustration, classroom-safe, centered silhouette, rich brass and teal tones, uncluttered composition, no text, no watermark, 4:5 portrait, 1400x1750","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P19","card","wonderland","eat_me_and_drink_me_bottle_and_cake_set_on_an_ornate_table","1400","1750","4","Eat Me and Drink Me bottle-and-cake set on an ornate table, magical size-changing aura split into two colors, painterly digital illustration, classroom-safe, whimsical tone, centered object clarity, soft background blur, clean UI zones, no text, no watermark, 4:5 portrait, 1400x1750","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P20","card","wonderland","tea_party_chaos_as_a_plot_card_scene","1400","1750","4","Tea Party Chaos as a plot card scene, long whimsical table tilting through impossible perspective with cups floating in the air, energetic but readable composition, painterly digital illustration, classroom-safe, bright controlled palette, clear focal center, UI-safe top and bottom, no text, no watermark, 4:5 portrait, 1400x1750","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P21","ui","ui_system","main_menu_background_grand_literary_hall_with_towering_bookshelves","2732","1536","4","Main menu background: grand literary hall with towering bookshelves, stained glass, parchment banners, warm morning light, wide composition with calm center area for buttons, painterly digital illustration, classroom-safe, no text, no watermark, 2732x1536","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P22","ui","ui_system","deck_builder_background_wooden_study_desk_with_maps","2732","1536","4","Deck builder background: wooden study desk with maps, quills, stacked cards, and soft lantern light, top-down angled composition with empty center for UI panels, painterly digital illustration, classroom-safe, no text, no watermark, 2732x1536","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P23","ui","ui_system","battle_board_background_split_arena_inspired_by_library_hall_versus_enchanted_garden","2732","1536","4","Battle board background: split arena inspired by library hall versus enchanted garden, subtle center lane markers, designed for card placement readability, painterly digital illustration, classroom-safe, no text, no watermark, 2732x1536","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P24","ui","ui_system","portrait_battle_background_for_ipad_rotation_literary_dueling_chamber_with_parchment_floor_motifs_and_soft_magical_glow","1536","2048","4","Portrait battle background for iPad rotation: literary dueling chamber with parchment floor motifs and soft magical glow, uncluttered mid-screen area for cards and stats, painterly digital illustration, classroom-safe, no text, no watermark, 1536x2048","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P25","ui","ui_system","loading_screen_art_collage_of_quills","2732","1536","4","Loading screen art: collage of quills, manuscripts, ink splashes, and public-domain book motifs in a circular composition, calm center for spinner overlay, painterly digital illustration, classroom-safe, no text, no watermark, 2732x1536","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P26","ui","ui_system","ranked_mode_icon_illustration_laurel_wreath_around_crossed_quill_and_pen_nib","1024","1024","4","Ranked mode icon illustration: laurel wreath around crossed quill and pen nib, metallic brass and ink-black palette, clean emblem style, painterly vector-like finish, classroom-safe, transparent background, no text, no watermark, 1024x1024","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P27","ui","ui_system","friendly_mode_icon_illustration_handshake_formed_from_two_stylized_fountain_pens_over_parchment_crest","1024","1024","4","Friendly mode icon illustration: handshake formed from two stylized fountain pens over parchment crest, warm approachable palette, clean emblem style, classroom-safe, transparent background, no text, no watermark, 1024x1024","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P28","ui","ui_system","inspiration_resource_icon_glowing_ink_droplet_in_crystal_vial","1024","1024","4","Inspiration resource icon: glowing ink droplet in crystal vial, clear silhouette, high contrast for small sizes, painterly icon style, classroom-safe, transparent background, no text, no watermark, 1024x1024","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P29","ui","ui_system","reputation_resource_icon_ornate_shield_made_of_layered_manuscript_pages_and_wax_seal","1024","1024","4","Reputation resource icon: ornate shield made of layered manuscript pages and wax seal, clear silhouette, strong readability at small scale, painterly icon style, classroom-safe, transparent background, no text, no watermark, 1024x1024","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P30","ui","ui_system","app_icon_concept_open_illuminated_book_emitting_cards_and_golden_ink_light","1024","1024","4","App icon concept: open illuminated book emitting cards and golden ink light, centered bold silhouette, minimal background clutter, painterly emblem style, classroom-safe, no text, no watermark, 1024x1024","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
